Date,"Number of daily births in Quebec, Jan. 01, 1977 to Dec. 31, 1990",Year,Year fraction,Standard time,Day of week,Weekend,Easter sunday,Easter Friday,Easter Saturday,Easter Monday,Easter,Victoria day,Labour day,Thanksgiving day,Floating holiday
1977-01-28,264,1977,0.0739219713,1977.0739219713,6,0,0,0,0,0,0,0,0,0,0
1977-01-29,220,1977,0.076659822,1977.076659822,7,1,0,0,0,0,0,0,0,0,0
1977-01-30,219,1977,0.0793976728,1977.0793976728,1,1,0,0,0,0,0,0,0,0,0
1977-01-31,263,1977,0.0821355236,1977.0821355236,2,0,0,0,0,0,0,0,0,0,0
1977-02-01,271,1977,0.0848733744,1977.0848733744,3,0,0,0,0,0,0,0,0,0,0
1977-02-02,305,1977,0.0876112252,1977.0876112252,4,0,0,0,0,0,0,0,0,0,0
1977-02-03,283,1977,0.090349076,1977.090349076,5,0,0,0,0,0,0,0,0,0,0
1977-02-04,269,1977,0.0930869268,1977.0930869268,6,0,0,0,0,0,0,0,0,0,0
1977-02-05,229,1977,0.0958247775,1977.0958247776,7,1,0,0,0,0,0,0,0,0,0
1977-02-06,222,1977,0.0985626283,1977.0985626283,1,1,0,0,0,0,0,0,0,0,0
1977-02-07,281,1977,0.1013004791,1977.1013004791,2,0,0,0,0,0,0,0,0,0,0
1977-02-08,277,1977,0.1040383299,1977.1040383299,3,0,0,0,0,0,0,0,0,0,0
1977-02-09,265,1977,0.1067761807,1977.1067761807,4,0,0,0,0,0,0,0,0,0,0
1977-02-10,282,1977,0.1095140315,1977.1095140315,5,0,0,0,0,0,0,0,0,0,0
1977-02-11,271,1977,0.1122518823,1977.1122518823,6,0,0,0,0,0,0,0,0,0,0
1977-02-12,242,1977,0.1149897331,1977.1149897331,7,1,0,0,0,0,0,0,0,0,0
1977-02-13,212,1977,0.1177275838,1977.1177275839,1,1,0,0,0,0,0,0,0,0,0
1977-02-14,268,1977,0.1204654346,1977.1204654346,2,0,0,0,0,0,0,0,0,0,0
1977-02-15,279,1977,0.1232032854,1977.1232032854,3,0,0,0,0,0,0,0,0,0,0
1977-02-16,272,1977,0.1259411362,1977.1259411362,4,0,0,0,0,0,0,0,0,0,0
1977-02-17,252,1977,0.128678987,1977.128678987,5,0,0,0,0,0,0,0,0,0,0
1977-02-18,294,1977,0.1314168378,1977.1314168378,6,0,0,0,0,0,0,0,0,0,0
1977-02-19,235,1977,0.1341546886,1977.1341546886,7,1,0,0,0,0,0,0,0,0,0
1977-02-20,202,1977,0.1368925394,1977.1368925394,1,1,0,0,0,0,0,0,0,0,0
1977-02-21,268,1977,0.1396303901,1977.1396303902,2,0,0,0,0,0,0,0,0,0,0
1977-02-22,295,1977,0.1423682409,1977.1423682409,3,0,0,0,0,0,0,0,0,0,0
1977-02-23,314,1977,0.1451060917,1977.1451060917,4,0,0,0,0,0,0,0,0,0,0
1977-02-24,279,1977,0.1478439425,1977.1478439425,5,0,0,0,0,0,0,0,0,0,0
1977-02-25,314,1977,0.1505817933,1977.1505817933,6,0,0,0,0,0,0,0,0,0,0
1977-02-26,239,1977,0.1533196441,1977.1533196441,7,1,0,0,0,0,0,0,0,0,0
1977-02-27,236,1977,0.1560574949,1977.1560574949,1,1,0,0,0,0,0,0,0,0,0
1977-02-28,290,1977,0.1587953457,1977.1587953457,2,0,0,0,0,0,0,0,0,0,0
1977-03-01,307,1977,0.1615331964,1977.1615331964,3,0,0,0,0,0,0,0,0,0,0
1977-03-02,303,1977,0.1642710472,1977.1642710472,4,0,0,0,0,0,0,0,0,0,0
1977-03-03,300,1977,0.167008898,1977.167008898,5,0,0,0,0,0,0,0,0,0,0
1977-03-04,275,1977,0.1697467488,1977.1697467488,6,0,0,0,0,0,0,0,0,0,0
1977-03-05,253,1977,0.1724845996,1977.1724845996,7,1,0,0,0,0,0,0,0,0,0
1977-03-06,204,1977,0.1752224504,1977.1752224504,1,1,0,0,0,0,0,0,0,0,0
1977-03-07,294,1977,0.1779603012,1977.1779603012,2,0,0,0,0,0,0,0,0,0,0
1977-03-08,305,1977,0.180698152,1977.180698152,3,0,0,0,0,0,0,0,0,0,0
1977-03-09,318,1977,0.1834360027,1977.1834360027,4,0,0,0,0,0,0,0,0,0,0
1977-03-10,281,1977,0.1861738535,1977.1861738535,5,0,0,0,0,0,0,0,0,0,0
1977-03-11,295,1977,0.1889117043,1977.1889117043,6,0,0,0,0,0,0,0,0,0,0
1977-03-12,251,1977,0.1916495551,1977.1916495551,7,1,0,0,0,0,0,0,0,0,0
1977-03-13,226,1977,0.1943874059,1977.1943874059,1,1,0,0,0,0,0,0,0,0,0
1977-03-14,286,1977,0.1971252567,1977.1971252567,2,0,0,0,0,0,0,0,0,0,0
1977-03-15,309,1977,0.1998631075,1977.1998631075,3,0,0,0,0,0,0,0,0,0,0
1977-03-16,319,1977,0.2026009582,1977.2026009583,4,0,0,0,0,0,0,0,0,0,0
1977-03-17,311,1977,0.205338809,1977.205338809,5,0,0,0,0,0,0,0,0,0,0
1977-03-18,294,1977,0.2080766598,1977.2080766598,6,0,0,0,0,0,0,0,0,0,0
1977-03-19,266,1977,0.2108145106,1977.2108145106,7,1,0,0,0,0,0,0,0,0,0
1977-03-20,221,1977,0.2135523614,1977.2135523614,1,1,0,0,0,0,0,0,0,0,0
1977-03-21,294,1977,0.2162902122,1977.2162902122,2,0,0,0,0,0,0,0,0,0,0
1977-03-22,301,1977,0.219028063,1977.219028063,3,0,0,0,0,0,0,0,0,0,0
1977-03-23,288,1977,0.2217659138,1977.2217659138,4,0,0,0,0,0,0,0,0,0,0
1977-03-24,301,1977,0.2245037645,1977.2245037646,5,0,0,0,0,0,0,0,0,0,0
1977-03-25,289,1977,0.2272416153,1977.2272416153,6,0,0,0,0,0,0,0,0,0,0
1977-03-26,258,1977,0.2299794661,1977.2299794661,7,1,0,0,0,0,0,0,0,0,0
1977-03-27,217,1977,0.2327173169,1977.2327173169,1,1,0,0,0,0,0,0,0,0,0
1977-03-28,237,1977,0.2354551677,1977.2354551677,2,0,0,0,0,0,0,0,0,0,0
1977-03-29,311,1977,0.2381930185,1977.2381930185,3,0,0,0,0,0,0,0,0,0,0
1977-03-30,260,1977,0.2409308693,1977.2409308693,4,0,0,0,0,0,0,0,0,0,0
1977-03-31,308,1977,0.2436687201,1977.2436687201,5,0,0,0,0,0,0,0,0,0,0
1977-04-01,316,1977,0.2464065708,1977.2464065709,6,0,0,0,0,0,0,0,0,0,0
1977-04-02,258,1977,0.2491444216,1977.2491444216,7,1,0,0,0,0,0,0,0,0,0
1977-04-03,229,1977,0.2518822724,1977.2518822724,1,1,0,0,0,0,0,0,0,0,0
1977-04-04,290,1977,0.2546201232,1977.2546201232,2,0,0,0,0,0,0,0,0,0,0
1977-04-05,326,1977,0.257357974,1977.257357974,3,0,0,0,0,0,0,0,0,0,0
1977-04-06,313,1977,0.2600958248,1977.2600958248,4,0,0,0,0,0,0,0,0,0,0
1977-04-07,302,1977,0.2628336756,1977.2628336756,5,0,0,0,0,0,0,0,0,0,0
1977-04-08,270,1977,0.2655715264,1977.2655715264,6,0,0,1,0,0,1,0,0,0,0
1977-04-09,249,1977,0.2683093771,1977.2683093771,7,1,0,0,1,0,1,0,0,0,0
1977-04-10,194,1977,0.2710472279,1977.2710472279,1,1,1,0,0,0,1,0,0,0,0
1977-04-11,253,1977,0.2737850787,1977.2737850787,2,0,0,0,0,1,1,0,0,0,0
1977-04-12,314,1977,0.2765229295,1977.2765229295,3,0,0,0,0,0,0,0,0,0,0
1977-04-13,298,1977,0.2792607803,1977.2792607803,4,0,0,0,0,0,0,0,0,0,0
1977-04-14,343,1977,0.2819986311,1977.2819986311,5,0,0,0,0,0,0,0,0,0,0
1977-04-15,319,1977,0.2847364819,1977.2847364819,6,0,0,0,0,0,0,0,0,0,0
1977-04-16,244,1977,0.2874743326,1977.2874743327,7,1,0,0,0,0,0,0,0,0,0
1977-04-17,235,1977,0.2902121834,1977.2902121834,1,1,0,0,0,0,0,0,0,0,0
1977-04-18,288,1977,0.2929500342,1977.2929500342,2,0,0,0,0,0,0,0,0,0,0
1977-04-19,347,1977,0.295687885,1977.295687885,3,0,0,0,0,0,0,0,0,0,0
1977-04-20,285,1977,0.2984257358,1977.2984257358,4,0,0,0,0,0,0,0,0,0,0
1977-04-21,300,1977,0.3011635866,1977.3011635866,5,0,0,0,0,0,0,0,0,0,0
1977-04-22,285,1977,0.3039014374,1977.3039014374,6,0,0,0,0,0,0,0,0,0,0
1977-04-23,231,1977,0.3066392882,1977.3066392882,7,1,0,0,0,0,0,0,0,0,0
1977-04-24,240,1977,0.3093771389,1977.309377139,1,1,0,0,0,0,0,0,0,0,0
1977-04-25,333,1977,0.3121149897,1977.3121149897,2,0,0,0,0,0,0,0,0,0,0
1977-04-26,284,1977,0.3148528405,1977.3148528405,3,0,0,0,0,0,0,0,0,0,0
1977-04-27,304,1977,0.3175906913,1977.3175906913,4,0,0,0,0,0,0,0,0,0,0
1977-04-28,324,1977,0.3203285421,1977.3203285421,5,0,0,0,0,0,0,0,0,0,0
1977-04-29,255,1977,0.3230663929,1977.3230663929,6,0,0,0,0,0,0,0,0,0,0
1977-04-30,248,1977,0.3258042437,1977.3258042437,7,1,0,0,0,0,0,0,0,0,0
1977-05-01,261,1977,0.3285420945,1977.3285420945,1,1,0,0,0,0,0,0,0,0,0
1977-05-02,311,1977,0.3312799452,1977.3312799453,2,0,0,0,0,0,0,0,0,0,0
1977-05-03,299,1977,0.334017796,1977.334017796,3,0,0,0,0,0,0,0,0,0,0
1977-05-04,304,1977,0.3367556468,1977.3367556468,4,0,0,0,0,0,0,0,0,0,0
1977-05-05,319,1977,0.3394934976,1977.3394934976,5,0,0,0,0,0,0,0,0,0,0
1977-05-06,321,1977,0.3422313484,1977.3422313484,6,0,0,0,0,0,0,0,0,0,0
1977-05-07,245,1977,0.3449691992,1977.3449691992,7,1,0,0,0,0,0,0,0,0,0
1977-05-08,188,1977,0.34770705,1977.34770705,1,1,0,0,0,0,0,0,0,0,0
1977-05-09,302,1977,0.3504449008,1977.3504449008,2,0,0,0,0,0,0,0,0,0,0
1977-05-10,316,1977,0.3531827515,1977.3531827515,3,0,0,0,0,0,0,0,0,0,0
1977-05-11,316,1977,0.3559206023,1977.3559206023,4,0,0,0,0,0,0,0,0,0,0
1977-05-12,311,1977,0.3586584531,1977.3586584531,5,0,0,0,0,0,0,0,0,0,0
1977-05-13,280,1977,0.3613963039,1977.3613963039,6,0,0,0,0,0,0,0,0,0,0
1977-05-14,199,1977,0.3641341547,1977.3641341547,7,1,0,0,0,0,0,0,0,0,0
1977-05-15,225,1977,0.3668720055,1977.3668720055,1,1,0,0,0,0,0,0,0,0,0
1977-05-16,320,1977,0.3696098563,1977.3696098563,2,0,0,0,0,0,0,0,0,0,0
1977-05-17,294,1977,0.372347707,1977.3723477071,3,0,0,0,0,0,0,0,0,0,0
1977-05-18,328,1977,0.3750855578,1977.3750855578,4,0,0,0,0,0,0,0,0,0,0
1977-05-19,279,1977,0.3778234086,1977.3778234086,5,0,0,0,0,0,0,0,0,0,0
1977-05-20,309,1977,0.3805612594,1977.3805612594,6,0,0,0,0,0,0,0,0,0,0
1977-05-21,255,1977,0.3832991102,1977.3832991102,7,1,0,0,0,0,0,0,0,0,0
1977-05-22,230,1977,0.386036961,1977.386036961,1,1,0,0,0,0,0,0,0,0,0
1977-05-23,264,1977,0.3887748118,1977.3887748118,2,0,0,0,0,0,0,1,0,0,1
1977-05-24,292,1977,0.3915126626,1977.3915126626,3,0,0,0,0,0,0,0,0,0,0
1977-05-25,322,1977,0.3942505133,1977.3942505134,4,0,0,0,0,0,0,0,0,0,0
1977-05-26,302,1977,0.3969883641,1977.3969883641,5,0,0,0,0,0,0,0,0,0,0
1977-05-27,312,1977,0.3997262149,1977.3997262149,6,0,0,0,0,0,0,0,0,0,0
1977-05-28,211,1977,0.4024640657,1977.4024640657,7,1,0,0,0,0,0,0,0,0,0
1977-05-29,222,1977,0.4052019165,1977.4052019165,1,1,0,0,0,0,0,0,0,0,0
1977-05-30,293,1977,0.4079397673,1977.4079397673,2,0,0,0,0,0,0,0,0,0,0
1977-05-31,253,1977,0.4106776181,1977.4106776181,3,0,0,0,0,0,0,0,0,0,0
1977-06-01,307,1977,0.4134154689,1977.4134154689,4,0,0,0,0,0,0,0,0,0,0
1977-06-02,271,1977,0.4161533196,1977.4161533197,5,0,0,0,0,0,0,0,0,0,0
1977-06-03,314,1977,0.4188911704,1977.4188911704,6,0,0,0,0,0,0,0,0,0,0
1977-06-04,217,1977,0.4216290212,1977.4216290212,7,1,0,0,0,0,0,0,0,0,0
1977-06-05,227,1977,0.424366872,1977.424366872,1,1,0,0,0,0,0,0,0,0,0
1977-06-06,293,1977,0.4271047228,1977.4271047228,2,0,0,0,0,0,0,0,0,0,0
1977-06-07,293,1977,0.4298425736,1977.4298425736,3,0,0,0,0,0,0,0,0,0,0
1977-06-08,281,1977,0.4325804244,1977.4325804244,4,0,0,0,0,0,0,0,0,0,0
1977-06-09,285,1977,0.4353182752,1977.4353182752,5,0,0,0,0,0,0,0,0,0,0
1977-06-10,286,1977,0.4380561259,1977.438056126,6,0,0,0,0,0,0,0,0,0,0
1977-06-11,226,1977,0.4407939767,1977.4407939767,7,1,0,0,0,0,0,0,0,0,0
1977-06-12,233,1977,0.4435318275,1977.4435318275,1,1,0,0,0,0,0,0,0,0,0
1977-06-13,279,1977,0.4462696783,1977.4462696783,2,0,0,0,0,0,0,0,0,0,0
1977-06-14,305,1977,0.4490075291,1977.4490075291,3,0,0,0,0,0,0,0,0,0,0
1977-06-15,269,1977,0.4517453799,1977.4517453799,4,0,0,0,0,0,0,0,0,0,0
1977-06-16,276,1977,0.4544832307,1977.4544832307,5,0,0,0,0,0,0,0,0,0,0
1977-06-17,298,1977,0.4572210815,1977.4572210815,6,0,0,0,0,0,0,0,0,0,0
1977-06-18,205,1977,0.4599589322,1977.4599589322,7,1,0,0,0,0,0,0,0,0,0
1977-06-19,217,1977,0.462696783,1977.462696783,1,1,0,0,0,0,0,0,0,0,0
1977-06-20,264,1977,0.4654346338,1977.4654346338,2,0,0,0,0,0,0,0,0,0,0
1977-06-21,295,1977,0.4681724846,1977.4681724846,3,0,0,0,0,0,0,0,0,0,0
1977-06-22,346,1977,0.4709103354,1977.4709103354,4,0,0,0,0,0,0,0,0,0,0
1977-06-23,333,1977,0.4736481862,1977.4736481862,5,0,0,0,0,0,0,0,0,0,0
1977-06-24,219,1977,0.476386037,1977.476386037,6,0,0,0,0,0,0,0,0,0,0
1977-06-25,231,1977,0.4791238877,1977.4791238878,7,1,0,0,0,0,0,0,0,0,0
1977-06-26,200,1977,0.4818617385,1977.4818617385,1,1,0,0,0,0,0,0,0,0,0
1977-06-27,265,1977,0.4845995893,1977.4845995893,2,0,0,0,0,0,0,0,0,0,0
1977-06-28,294,1977,0.4873374401,1977.4873374401,3,0,0,0,0,0,0,0,0,0,0
1977-06-29,307,1977,0.4900752909,1977.4900752909,4,0,0,0,0,0,0,0,0,0,0
1977-06-30,327,1977,0.4928131417,1977.4928131417,5,0,0,0,0,0,0,0,0,0,0
1977-07-01,298,1977,0.4955509925,1977.4955509925,6,0,0,0,0,0,0,0,0,0,0
1977-07-02,239,1977,0.4982888433,1977.4982888433,7,1,0,0,0,0,0,0,0,0,0
1977-07-03,212,1977,0.501026694,1977.5010266941,1,1,0,0,0,0,0,0,0,0,0
1977-07-04,263,1977,0.5037645448,1977.5037645448,2,0,0,0,0,0,0,0,0,0,0
1977-07-05,292,1977,0.5065023956,1977.5065023956,3,0,0,0,0,0,0,0,0,0,0
1977-07-06,266,1977,0.5092402464,1977.5092402464,4,0,0,0,0,0,0,0,0,0,0
1977-07-07,298,1977,0.5119780972,1977.5119780972,5,0,0,0,0,0,0,0,0,0,0
1977-07-08,288,1977,0.514715948,1977.514715948,6,0,0,0,0,0,0,0,0,0,0
1977-07-09,237,1977,0.5174537988,1977.5174537988,7,1,0,0,0,0,0,0,0,0,0
1977-07-10,239,1977,0.5201916496,1977.5201916496,1,1,0,0,0,0,0,0,0,0,0
1977-07-11,260,1977,0.5229295003,1977.5229295004,2,0,0,0,0,0,0,0,0,0,0
1977-07-12,285,1977,0.5256673511,1977.5256673511,3,0,0,0,0,0,0,0,0,0,0
1977-07-13,279,1977,0.5284052019,1977.5284052019,4,0,0,0,0,0,0,0,0,0,0
1977-07-14,297,1977,0.5311430527,1977.5311430527,5,0,0,0,0,0,0,0,0,0,0
1977-07-15,306,1977,0.5338809035,1977.5338809035,6,0,0,0,0,0,0,0,0,0,0
1977-07-16,220,1977,0.5366187543,1977.5366187543,7,1,0,0,0,0,0,0,0,0,0
1977-07-17,219,1977,0.5393566051,1977.5393566051,1,1,0,0,0,0,0,0,0,0,0
1977-07-18,256,1977,0.5420944559,1977.5420944559,2,0,0,0,0,0,0,0,0,0,0
1977-07-19,304,1977,0.5448323066,1977.5448323066,3,0,0,0,0,0,0,0,0,0,0
1977-07-20,303,1977,0.5475701574,1977.5475701574,4,0,0,0,0,0,0,0,0,0,0
1977-07-21,250,1977,0.5503080082,1977.5503080082,5,0,0,0,0,0,0,0,0,0,0
1977-07-22,280,1977,0.553045859,1977.553045859,6,0,0,0,0,0,0,0,0,0,0
1977-07-23,219,1977,0.5557837098,1977.5557837098,7,1,0,0,0,0,0,0,0,0,0
1977-07-24,209,1977,0.5585215606,1977.5585215606,1,1,0,0,0,0,0,0,0,0,0
1977-07-25,269,1977,0.5612594114,1977.5612594114,2,0,0,0,0,0,0,0,0,0,0
1977-07-26,277,1977,0.5639972621,1977.5639972622,3,0,0,0,0,0,0,0,0,0,0
1977-07-27,308,1977,0.5667351129,1977.5667351129,4,0,0,0,0,0,0,0,0,0,0
1977-07-28,274,1977,0.5694729637,1977.5694729637,5,0,0,0,0,0,0,0,0,0,0
1977-07-29,291,1977,0.5722108145,1977.5722108145,6,0,0,0,0,0,0,0,0,0,0
1977-07-30,270,1977,0.5749486653,1977.5749486653,7,1,0,0,0,0,0,0,0,0,0
1977-07-31,227,1977,0.5776865161,1977.5776865161,1,1,0,0,0,0,0,0,0,0,0
1977-08-01,252,1977,0.5804243669,1977.5804243669,2,0,0,0,0,0,0,0,0,0,0
1977-08-02,286,1977,0.5831622177,1977.5831622177,3,0,0,0,0,0,0,0,0,0,0
1977-08-03,296,1977,0.5859000684,1977.5859000685,4,0,0,0,0,0,0,0,0,0,0
1977-08-04,303,1977,0.5886379192,1977.5886379192,5,0,0,0,0,0,0,0,0,0,0
1977-08-05,279,1977,0.59137577,1977.59137577,6,0,0,0,0,0,0,0,0,0,0
1977-08-06,224,1977,0.5941136208,1977.5941136208,7,1,0,0,0,0,0,0,0,0,0
1977-08-07,205,1977,0.5968514716,1977.5968514716,1,1,0,0,0,0,0,0,0,0,0
1977-08-08,256,1977,0.5995893224,1977.5995893224,2,0,0,0,0,0,0,0,0,0,0
1977-08-09,319,1977,0.6023271732,1977.6023271732,3,0,0,0,0,0,0,0,0,0,0
1977-08-10,302,1977,0.605065024,1977.605065024,4,0,0,0,0,0,0,0,0,0,0
1977-08-11,281,1977,0.6078028747,1977.6078028748,5,0,0,0,0,0,0,0,0,0,0
1977-08-12,272,1977,0.6105407255,1977.6105407255,6,0,0,0,0,0,0,0,0,0,0
1977-08-13,244,1977,0.6132785763,1977.6132785763,7,1,0,0,0,0,0,0,0,0,0
1977-08-14,212,1977,0.6160164271,1977.6160164271,1,1,0,0,0,0,0,0,0,0,0
1977-08-15,278,1977,0.6187542779,1977.6187542779,2,0,0,0,0,0,0,0,0,0,0
1977-08-16,297,1977,0.6214921287,1977.6214921287,3,0,0,0,0,0,0,0,0,0,0
1977-08-17,266,1977,0.6242299795,1977.6242299795,4,0,0,0,0,0,0,0,0,0,0
1977-08-18,300,1977,0.6269678303,1977.6269678303,5,0,0,0,0,0,0,0,0,0,0
1977-08-19,290,1977,0.629705681,1977.629705681,6,0,0,0,0,0,0,0,0,0,0
1977-08-20,220,1977,0.6324435318,1977.6324435318,7,1,0,0,0,0,0,0,0,0,0
1977-08-21,233,1977,0.6351813826,1977.6351813826,1,1,0,0,0,0,0,0,0,0,0
1977-08-22,226,1977,0.6379192334,1977.6379192334,2,0,0,0,0,0,0,0,0,0,0
1977-08-23,268,1977,0.6406570842,1977.6406570842,3,0,0,0,0,0,0,0,0,0,0
1977-08-24,272,1977,0.643394935,1977.643394935,4,0,0,0,0,0,0,0,0,0,0
1977-08-25,251,1977,0.6461327858,1977.6461327858,5,0,0,0,0,0,0,0,0,0,0
1977-08-26,293,1977,0.6488706366,1977.6488706366,6,0,0,0,0,0,0,0,0,0,0
1977-08-27,210,1977,0.6516084873,1977.6516084873,7,1,0,0,0,0,0,0,0,0,0
1977-08-28,242,1977,0.6543463381,1977.6543463381,1,1,0,0,0,0,0,0,0,0,0
1977-08-29,267,1977,0.6570841889,1977.6570841889,2,0,0,0,0,0,0,0,0,0,0
1977-08-30,289,1977,0.6598220397,1977.6598220397,3,0,0,0,0,0,0,0,0,0,0
1977-08-31,293,1977,0.6625598905,1977.6625598905,4,0,0,0,0,0,0,0,0,0,0
1977-09-01,318,1977,0.6652977413,1977.6652977413,5,0,0,0,0,0,0,0,0,0,0
1977-09-02,270,1977,0.6680355921,1977.6680355921,6,0,0,0,0,0,0,0,0,0,0
1977-09-03,204,1977,0.6707734428,1977.6707734429,7,1,0,0,0,0,0,0,0,0,0
1977-09-04,219,1977,0.6735112936,1977.6735112936,1,1,0,0,0,0,0,0,0,0,0
1977-09-05,213,1977,0.6762491444,1977.6762491444,2,0,0,0,0,0,0,0,1,0,1
1977-09-06,256,1977,0.6789869952,1977.6789869952,3,0,0,0,0,0,0,0,0,0,0
1977-09-07,283,1977,0.681724846,1977.681724846,4,0,0,0,0,0,0,0,0,0,0
1977-09-08,265,1977,0.6844626968,1977.6844626968,5,0,0,0,0,0,0,0,0,0,0
1977-09-09,291,1977,0.6872005476,1977.6872005476,6,0,0,0,0,0,0,0,0,0,0
1977-09-10,205,1977,0.6899383984,1977.6899383984,7,1,0,0,0,0,0,0,0,0,0
1977-09-11,241,1977,0.6926762491,1977.6926762492,1,1,0,0,0,0,0,0,0,0,0
1977-09-12,263,1977,0.6954140999,1977.6954140999,2,0,0,0,0,0,0,0,0,0,0
1977-09-13,277,1977,0.6981519507,1977.6981519507,3,0,0,0,0,0,0,0,0,0,0
1977-09-14,273,1977,0.7008898015,1977.7008898015,4,0,0,0,0,0,0,0,0,0,0
1977-09-15,293,1977,0.7036276523,1977.7036276523,5,0,0,0,0,0,0,0,0,0,0
1977-09-16,292,1977,0.7063655031,1977.7063655031,6,0,0,0,0,0,0,0,0,0,0
1977-09-17,240,1977,0.7091033539,1977.7091033539,7,1,0,0,0,0,0,0,0,0,0
1977-09-18,207,1977,0.7118412047,1977.7118412047,1,1,0,0,0,0,0,0,0,0,0
1977-09-19,286,1977,0.7145790554,1977.7145790555,2,0,0,0,0,0,0,0,0,0,0
1977-09-20,325,1977,0.7173169062,1977.7173169062,3,0,0,0,0,0,0,0,0,0,0
1977-09-21,316,1977,0.720054757,1977.720054757,4,0,0,0,0,0,0,0,0,0,0
1977-09-22,292,1977,0.7227926078,1977.7227926078,5,0,0,0,0,0,0,0,0,0,0
1977-09-23,306,1977,0.7255304586,1977.7255304586,6,0,0,0,0,0,0,0,0,0,0
1977-09-24,246,1977,0.7282683094,1977.7282683094,7,1,0,0,0,0,0,0,0,0,0
1977-09-25,202,1977,0.7310061602,1977.7310061602,1,1,0,0,0,0,0,0,0,0,0
1977-09-26,313,1977,0.733744011,1977.733744011,2,0,0,0,0,0,0,0,0,0,0
1977-09-27,321,1977,0.7364818617,1977.7364818617,3,0,0,0,0,0,0,0,0,0,0
1977-09-28,333,1977,0.7392197125,1977.7392197125,4,0,0,0,0,0,0,0,0,0,0
1977-09-29,319,1977,0.7419575633,1977.7419575633,5,0,0,0,0,0,0,0,0,0,0
1977-09-30,336,1977,0.7446954141,1977.7446954141,6,0,0,0,0,0,0,0,0,0,0
1977-10-01,252,1977,0.7474332649,1977.7474332649,7,1,0,0,0,0,0,0,0,0,0
1977-10-02,208,1977,0.7501711157,1977.7501711157,1,1,0,0,0,0,0,0,0,0,0
1977-10-03,259,1977,0.7529089665,1977.7529089665,2,0,0,0,0,0,0,0,0,0,0
1977-10-04,293,1977,0.7556468172,1977.7556468173,3,0,0,0,0,0,0,0,0,0,0
1977-10-05,271,1977,0.758384668,1977.758384668,4,0,0,0,0,0,0,0,0,0,0
1977-10-06,305,1977,0.7611225188,1977.7611225188,5,0,0,0,0,0,0,0,0,0,0
1977-10-07,297,1977,0.7638603696,1977.7638603696,6,0,0,0,0,0,0,0,0,0,0
1977-10-08,223,1977,0.7665982204,1977.7665982204,7,1,0,0,0,0,0,0,0,0,0
1977-10-09,224,1977,0.7693360712,1977.7693360712,1,1,0,0,0,0,0,0,0,0,0
