arsenic,dist,assoc,educ,switch
0.21,98.263,1,9,0
0.46,70.294,1,5,1
1.01,71.799,1,5,1
0.28,128.135,0,10,0
0.74,141.536,0,8,1
1.81,84.646,1,0,1
2.69,65.932,0,0,1
4.85,67.94,1,0,1
3.18,64.698,0,6,1
5.06,62.635,1,10,1
2.69,47.909,0,10,1
0.57,24.003,0,12,1
0.33,23.309,1,6,0
0.16,10.234,1,5,0
0.05,13.12,1,10,1
0.05,2.287,1,4,0
0.11,5.189,0,9,0
0.05,7.395,0,10,0
0.12,4.284,0,10,1
0.13,8.002,0,5,0
0.08,10.367,1,0,0
0.05,20.41,1,10,0
4.55,17.982,0,7,1
3.91,11.147,1,6,0
0.32,35.045,0,5,0
0.89,39.977,1,5,1
1,69.131,0,0,0
0.95,37.653,1,0,1
0.05,21.893,1,4,0
3.55,32.071,1,7,1
4.52,19.084,0,5,1
0.05,12.431,1,8,0
0.05,25.148,1,0,0
4.76,23.912,0,0,1
1.99,28.56,1,5,1
2.85,21.965,0,0,0
8.04,79.963,0,5,1
0.81,91.007,0,0,0
0.25,7.371,1,5,0
2.85,26.513,1,8,1
2.18,23.324,0,3,1
4.23,31.592,0,5,1
0.05,32.065,1,10,0
2.47,27.277,1,10,1
0.08,28.55,1,10,0
0.25,43.917,1,7,0
0.05,33.753,0,12,0
0.05,29.784,0,0,0
1.92,31.324,1,0,1
1.63,38.849,0,8,1
1.63,20.906,1,4,1
5.45,9.126,1,0,1
0.05,14.513,1,7,0
1.57,19.382,0,8,0
1.94,12.461,0,8,1
0.47,19.438,1,10,0
0.14,14.44,1,6,0
0.21,19.221,0,10,0
0.05,19.182,0,0,0
0.19,13.356,0,8,0
0.05,8.527,0,12,0
0.05,13.612,0,10,0
0.09,18.882,0,11,0
0.05,20.263,1,0,0
0.05,23.878,1,10,0
0.05,21.225,1,0,1
0.18,3.082,0,0,1
0.3,9.442,0,0,1
0.05,30.991,0,10,0
0.17,16.164,1,0,0
0.26,20.225,1,5,0
0.24,11.351,0,3,0
0.23,1.922,1,2,0
0.08,26.319,1,0,0
0.06,14.237,1,0,1
0.1,7.031,0,9,0
0.05,10.027,1,0,1
0.09,12.165,0,4,0
0.34,23.449,0,5,0
0.05,21.709,0,5,0
0.05,11.682,1,0,0
0.17,16.647,1,0,0
0.28,8.481,0,0,0
0.15,16.655,0,7,1
0.12,17.412,1,6,1
0.05,15.425,1,0,0
0.15,12.072,0,6,1
0.09,12.598,1,5,1
0.24,14.427,1,10,1
0.05,26.231,0,8,0
0.05,31.973,0,14,1
0.24,33.595,1,0,0
0.05,22.958,1,8,0
0.27,5.786,0,14,1
0.34,23.063,0,14,1
0.14,13.523,0,3,0
0.29,8.871,1,0,0
0.46,15.33,1,0,0
0.18,6.528,0,0,0
0.11,16.906,1,5,0
1.58,14.937,0,0,1
0.39,17.743,0,5,0
0.67,13.219,1,5,1
0.5,5.884,1,5,0
1.4,6.83,0,5,1
0.19,19.271,0,10,1
0.39,17.985,0,5,0
0.29,19.563,1,1,0
0.32,12.278,1,1,1
0.5,32.559,0,0,0
1.18,30.406,1,3,0
0.77,18.551,1,5,0
0.77,24.829,0,0,0
0.48,32.322,0,3,0
0.64,39.882,0,3,1
0.48,26.87,1,0,1
0.73,17.811,0,0,1
3.57,12.301,0,12,1
0.23,21.653,0,12,0
0.14,10.901,0,0,0
1.44,28.671,0,12,1
0.43,12.2,0,12,0
0.05,16.492,0,5,0
0.05,12.754,1,5,0
0.05,11.311,0,5,0
0.77,20.871,1,5,0
0.06,2.608,0,5,1
0.43,7.972,0,5,1
0.77,20.12,1,0,1
0.73,13.494,1,5,0
0.05,9.916,1,5,0
0.34,7.294,1,0,0
0.09,1.17,0,9,0
0.05,7.268,0,5,0
1.9,19.192,0,0,1
0.72,28.646,0,8,0
0.88,16.166,0,0,0
1.04,27.428,0,5,0
0.05,18.73,0,8,0
0.24,9.498,1,6,0
0.24,13.533,0,0,0
0.24,21.073,0,0,0
0.05,11.664,0,10,0
0.05,17.6,0,5,0
0.05,18.225,1,0,1
0.93,21.25,0,5,1
1.21,15.839,1,0,0
1.44,14.418,1,5,1
0.48,17.26,1,0,0
0.5,22.273,1,0,0
0.47,17.391,0,5,1
0.64,29.278,1,14,0
0.8,43.944,1,14,0
1.93,20.23,0,0,1
0.15,36.952,0,0,0
0.56,50.092,0,5,0
0.84,57.105,1,0,1
1.32,66.88,0,5,0
0.52,69.482,0,3,0
1.19,48.708,1,5,0
1.18,22.636,1,12,0
1.26,10.123,0,5,0
0.88,42.828,0,8,0
3.16,21.089,0,5,0
2.12,47.534,0,5,0
0.76,15.712,0,5,1
0.5,13.199,0,5,1
0.56,12.185,0,5,0
0.41,12.77,0,5,0
0.29,7.809,0,10,0
0.62,23.559,0,0,0
0.11,28.192,0,5,1
1.03,1.848,0,5,1
0.31,23.326,0,10,1
0.78,90.921,0,5,0
1.02,93.828,1,5,0
0.65,82.106,1,9,0
2.29,46.956,1,3,1
0.05,45.06,1,3,0
1.6,24.21,1,4,1
0.35,5.592,0,10,0
0.5,14.932,0,5,1
0.82,43.29,0,5,1
1.44,25.147,0,10,1
0.16,37.822,0,10,0
0.35,10.571,0,0,0
0.22,23.611,1,5,0
0.97,14.604,0,0,1
0.1,20.152,1,8,0
0.89,1.401,0,8,0
1.39,8.21,0,12,1
0.83,18.868,0,0,1
0.42,20.13,0,0,0
0.6,32.515,0,5,1
0.57,23.401,0,0,1
0.26,26.218,0,9,0
1.47,18.532,1,9,1
0.29,4.835,1,5,1
1.11,36.287,0,10,1
2.38,40.498,0,12,1
0.1,30.181,0,5,0
3.97,90.571,0,0,0
3.51,115.158,1,3,1
3.69,112.762,1,0,0
2.95,93.431,1,0,1
3.21,97.217,0,0,0
3.65,88.345,1,0,1
4.42,41.104,1,5,1
4.12,46.24,0,3,1
3.62,65.354,1,3,1
3.8,43.735,1,2,1
4.46,61.571,0,5,1
4.03,62.99,1,2,1
4.04,78.415,1,0,1
3.32,63.502,0,5,1
2.07,69.269,1,5,0
1.43,57.929,1,6,1
2.3,85.387,0,5,1
1.41,110.609,0,5,1
2.34,111.49,1,0,1
1.5,176.197,0,0,1
1.44,172.108,0,0,0
1.54,177.803,0,0,0
1.35,22.671,1,0,1
0.05,6.691,0,0,0
0.05,3.252,1,0,1
0.54,27.881,1,5,1
1.17,19.26,0,8,1
0.05,30.432,1,0,1
0.11,18.028,1,9,1
0.05,6.683,0,5,0
0.32,29.607,1,5,0
0.05,21.62,0,5,0
0.05,0.152,0,5,0
0.16,13.444,0,9,0
0.05,20.968,1,10,1
0.05,20.97,0,8,0
0.05,9.755,0,0,0
0.05,6.443,1,7,1
0.25,15.109,0,0,0
0.05,20.228,0,0,0
0.23,12.704,0,0,0
0.36,52.909,0,0,0
0.45,69.955,0,0,0
1.02,24.5,0,0,0
1.11,6.633,0,5,1
0.49,16.024,0,0,0
0.21,15.637,1,0,0
0.37,20.536,0,5,0
0.52,7.041,0,10,0
0.56,30.314,1,8,0
0.34,14.243,1,6,0
0.29,24.391,1,6,0
0.27,21.21,0,5,0
0.29,22.262,1,5,0
0.17,38.189,0,10,0
0.44,11.503,0,0,0
0.05,28.81,0,10,0
0.05,33.108,0,10,1
1.69,29.922,0,10,1
0.47,20.02,0,0,0
0.61,21.979,1,0,1
0.42,12.49,0,9,0
2.17,10.458,1,5,1
0.48,21.147,0,0,0
0.77,2.029,0,0,1
0.61,74.999,0,5,0
0.96,81.971,1,3,1
0.94,92.176,1,5,1
0.93,106.608,1,3,1
1.02,103.061,1,4,0
1.24,86.605,0,0,0
1.42,110.562,0,5,0
1.31,122.326,0,5,0
0.83,122.019,0,0,0
2.64,57.633,1,2,0
1.84,39.596,0,5,0
2.48,39.516,0,0,0
1.27,21.555,0,10,0
0.25,21.061,1,0,1
0.69,51.748,0,0,0
0.05,28.802,0,0,0
0.61,13.521,1,5,1
0.5,7.136,1,0,0
0.2,20.396,0,8,1
0.89,31.454,0,5,0
0.85,17.548,0,12,0
0.49,14.835,0,5,0
0.29,33.742,0,9,0
0.16,82.832,0,0,1
0.99,97.048,1,5,1
0.75,89.431,0,5,1
0.81,19.264,1,0,0
1.81,53.363,1,9,0
1.25,30.129,1,0,0
1.12,27.137,1,9,1
1.03,14.534,1,0,1
0.71,28.712,1,0,1
2.16,20.64,1,0,1
1.7,36.75,0,5,1
1.84,49.68,0,5,1
1.26,102.711,1,0,0
2.53,108.616,1,0,0
2.95,96.436,0,0,0
0.62,100.861,0,0,0
3.01,137.9,0,10,1
2.56,124.671,1,5,0
1.97,151.066,0,10,1
1.2,121.576,1,5,0
0.89,32.85,0,0,0
0.22,11.246,0,0,0
0.08,5.179,0,0,1
0.52,8.547,0,10,0
2.49,27.974,0,4,1
1.25,29.458,0,0,1
1.13,19.66,1,5,0
0.05,5.911,0,0,0
0.05,19.074,1,5,0
0.35,32.128,0,14,0
1.13,47.709,0,12,1
0.52,71.523,0,10,1
0.88,67.176,1,10,1
3.48,69.967,0,5,0
0.56,83.572,0,10,0
0.42,90.621,1,5,0
1.77,71.425,0,0,1
1.35,71.425,0,5,0
1.67,71.425,0,0,1
1.92,71.425,0,10,0
2.41,190.288,0,7,0
2.36,186.305,0,5,0
2.31,170.929,0,0,1
2.55,140.821,0,10,1
2.41,218.3,0,0,0
1.46,53.544,0,14,1
2,63.602,0,0,1
1.32,67.493,0,5,1
1.75,66.736,0,5,1
1.84,47.996,0,0,1
1.72,54.416,0,5,0
1.77,94.723,0,5,0
2.77,70.774,0,7,1
0.73,11.249,1,0,1
0.69,4.88,1,0,1
0.5,18.938,1,5,0
0.58,18.143,1,5,0
0.52,15.779,1,12,1
0.62,0.387,1,5,1
0.48,12.942,1,5,0
3.33,14.965,1,5,1
0.33,14.842,1,5,0
0.31,12.663,1,0,1
0.39,6.989,1,0,0
0.44,10.661,1,5,0
0.42,18.191,0,0,1
0.33,10.449,1,0,0
0.51,24.677,0,0,0
1.02,20.579,1,0,1
0.4,12.883,0,0,0
1.26,17.507,1,0,0
0.41,6.37,0,0,0
0.35,9.015,0,0,0
0.6,22.882,0,5,1
0.59,6.796,0,5,1
0.44,25.757,0,0,1
0.22,3.543,1,10,0
0.72,21.571,0,0,1
0.66,8.996,1,0,1
0.74,2.409,1,0,1
0.71,9.306,1,0,1
0.86,21.996,1,7,1
0.28,22.563,0,5,0
0.51,14.077,0,10,0
0.05,13.331,0,0,1
0.63,4.098,1,5,1
0.18,7.338,1,5,0
0.4,31.746,1,5,0
0.09,14.953,0,5,0
0.43,26.409,0,10,1
0.58,29.649,1,5,1
0.31,22.071,1,0,1
0.55,11.377,0,5,0
1.26,29.541,0,0,1
0.52,33.367,0,10,0
0.83,26.715,0,10,0
0.16,21.228,1,3,0
0.05,20.274,1,3,0
0.13,13.588,0,3,1
0.05,20.091,0,5,0
0.27,17.634,1,4,0
0.2,31.472,0,3,1
0.33,22.653,1,0,1
0.57,21.118,0,5,0
0.24,10.904,1,0,0
0.32,18.764,0,0,0
0.37,22.363,0,5,0
0.48,26.537,1,0,1
0.53,71.482,0,0,0
0.67,71.637,1,0,0
0.19,8.725,1,5,0
0.27,12.433,1,10,0
3.5,23.831,0,5,1
0.12,6.513,0,6,0
0.39,16.745,0,10,0
2.8,5.728,1,12,1
0.29,19.055,1,8,0
0.27,8.83,1,0,0
0.22,19.084,1,4,1
0.12,15.561,1,6,0
0.48,21.081,0,5,1
0.77,15.815,1,5,1
0.74,32.587,1,5,1
0.77,40.131,0,10,1
1.58,49.638,1,2,1
0.8,24.887,0,10,1
0.55,47.671,1,0,0
0.9,56.591,1,10,1
0.52,74.117,0,8,0
2.59,81.849,1,0,1
1.27,86.094,1,8,1
0.97,71.806,0,14,0
1.47,61.745,1,4,0
1.03,25.045,0,12,0
0.2,34.485,0,10,1
0.17,27.05,0,7,0
0.05,12.39,1,2,0
0.93,19.929,1,2,0
0.19,34.471,0,0,0
0.45,53.31,1,5,0
0.79,50.119,0,10,0
0.21,24.19,1,5,0
0.66,53.816,1,5,0
0.05,44.991,0,0,0
0.85,33.503,1,10,0
0.41,37.88,0,10,0
0.93,58.356,0,5,0
1.42,17.954,0,12,0
0.75,28.027,0,4,0
1.46,31.668,0,8,0
1.16,34.437,0,5,0
1.6,57.86,0,14,1
1.17,50.952,0,15,0
0.83,60.753,1,0,1
0.36,26.163,0,5,0
0.29,6.007,1,8,0
1.24,74.877,0,5,1
3.08,57.96,0,5,1
1.01,20.843,0,5,1
3.59,61.624,0,0,1
3.01,83.321,0,5,1
1.96,76.066,0,7,1
1.67,105.867,0,5,1
1.69,112.675,0,0,0
2.71,197.135,1,5,0
1.27,304.097,1,5,0
1.43,339.531,0,4,0
1,70.271,0,5,0
0.52,92.744,0,5,0
0.65,55.921,0,9,0
0.7,50.829,1,0,0
0.51,37.601,0,0,0
1.02,17.931,0,0,0
2.05,11.817,0,5,1
0.41,12.89,1,7,0
0.77,18.797,1,0,1
0.12,0.739,0,9,0
0.33,13.39,0,4,0
0.68,33.686,0,5,1
0.05,16.093,0,5,0
0.05,27.013,0,10,0
1.2,17.575,0,5,1
0.05,13.659,0,5,0
0.31,9.234,0,0,0
0.62,22.443,0,5,1
0.24,5.428,0,0,0
0.15,4.952,0,14,0
1.31,27.026,1,5,1
0.24,13.87,0,14,0
0.05,12.305,0,14,0
0.28,1.232,0,14,1
1.79,17.14,0,0,1
0.21,2.038,1,0,0
0.56,25.454,0,0,1
1.18,67.401,1,6,1
0.77,45.576,0,5,1
0.66,52.761,0,0,1
1.1,30.541,0,0,1
0.65,39.764,0,0,1
0.82,16.399,1,5,1
2.22,29.319,0,5,1
2.82,36.061,1,0,1
0.05,3.707,0,8,0
0.05,15.042,1,0,0
0.64,22.607,0,6,0
1.26,27.141,1,6,1
1.53,9.447,1,5,1
0.05,7.503,0,8,0
0.05,9.78,0,12,0
0.05,6.281,1,8,0
0.05,6.187,1,14,0
0.05,3.228,1,7,0
0.05,8.166,0,8,0
0.05,4.164,1,8,0
0.05,3.793,0,8,0
0.05,7.158,1,8,0
1.8,16.697,0,0,1
0.1,42.587,1,7,1
1.24,50.477,1,8,1
0.93,9.224,0,5,0
0.05,5.028,1,5,0
0.05,19.851,0,5,0
0.05,4.513,0,5,0
0.05,18.255,1,5,0
0.54,6.931,1,6,1
0.82,27.292,0,5,1
0.05,26.118,0,5,0
0.43,2.694,1,8,1
0.61,25.295,0,5,1
0.71,52.712,1,5,0
0.81,51.729,0,4,1
0.65,68.572,1,4,1
0.49,2.822,0,0,1
0.68,23.679,1,0,1
0.05,11.903,0,6,0
0.2,8.707,0,5,1
1.26,45.202,1,9,1
1.4,32.471,1,9,1
0.05,2.642,0,0,0
0.05,15.439,0,10,0
0.05,22.633,0,9,0
0.05,18.846,0,10,0
0.05,7.428,1,0,0
0.95,12.361,0,0,1
0.05,6.633,1,8,0
0.05,8.529,0,5,1
0.05,18.333,0,5,0
0.05,10.371,0,0,0
0.92,9.169,0,5,1
1.25,16.371,1,0,1
1.16,19.417,0,5,1
0.05,8.157,0,5,0
0.39,2.588,0,5,0
1.91,20.849,0,14,1
0.05,15.303,0,10,0
0.05,2.223,0,10,0
1.04,54.017,1,5,1
0.76,57.793,1,5,1
0.05,53.213,1,5,0
0.05,5.988,1,5,0
0.05,4.159,0,0,0
0.05,10.515,0,4,0
0.05,9.601,0,5,0
0.05,1.985,1,5,0
0.05,4.897,0,0,0
0.05,11.436,1,0,0
0.05,5.303,0,0,0
0.05,6.91,0,5,1
0.05,3.179,0,0,0
0.05,32.516,0,5,0
0.05,18.097,0,5,0
0.05,1.699,0,0,0
0.05,13.304,0,0,0
0.05,5.813,1,5,0
0.05,15.092,1,0,0
0.05,8.812,1,2,0
0.05,10.12,0,0,0
0.05,6.621,1,5,0
0.05,11,0,0,0
0.05,7.269,0,5,0
0.05,11.038,0,0,0
0.05,6.548,1,10,0
0.05,5.477,0,3,1
0.05,4.769,0,5,0
0.05,3.661,1,6,0
0.05,2.533,1,7,0
0.05,4.881,1,0,0
0.05,2.067,0,5,0
0.05,3.479,0,5,0
0.05,12.998,0,10,0
0.05,8.691,0,8,0
0.05,1.278,1,5,0
0.05,12.71,0,0,0
0.05,15.433,1,10,0
0.05,11.583,0,10,0
0.05,18.39,0,0,0
0.05,4.554,1,0,0
0.05,5.742,1,0,0
0.05,8.088,1,0,0
0.05,7.499,1,5,0
0.05,42.053,0,5,0
0.05,17.214,0,0,0
0.05,1.409,0,7,0
0.05,4.548,0,7,0
0.05,4.582,1,7,0
0.05,4.819,0,3,0
0.05,9.063,1,10,0
0.05,6.648,0,5,0
0.05,7.398,0,5,0
0.05,11.145,0,1,0
0.05,6.685,1,0,0
0.05,11.307,0,9,0
0.05,5.903,1,6,0
0.05,22.121,1,0,0
0.05,9.843,0,4,0
0.05,10.083,0,3,0
0.05,13.778,0,5,0
0.05,2.442,1,3,0
0.05,9.508,1,5,1
0.05,2.874,1,7,0
0.05,2.908,1,0,0
0.05,10.388,1,7,0
0.05,8.942,1,0,0
0.05,4.747,0,0,0
0.05,3.668,1,5,0
0.05,1.626,0,5,0
0.05,8.189,0,0,0
0.05,9.025,1,12,0
0.05,5.435,1,12,0
0.05,8.473,0,5,0
0.05,1.972,0,5,0
0.05,5.868,0,7,0
0.05,6.798,0,10,0
0.05,3.072,1,9,0
0.05,0.531,0,8,0
0.05,18.137,0,5,0
0.05,6.481,0,5,0
0.05,5.921,0,5,1
0.05,10.024,0,5,0
0.05,4.041,1,5,0
0.06,9.79,1,5,0
0.05,5.872,1,8,0
0.05,4.326,0,0,0
0.05,2.103,1,0,0
0.05,8.591,0,5,0
0.05,14.858,0,0,0
0.05,8.114,1,9,0
0.05,4.263,0,10,0
0.05,5.831,0,10,0
0.05,11.384,0,0,0
0.05,8.171,0,10,0
0.05,5.056,0,10,0
0.05,0.556,0,12,0
0.05,14.465,0,5,1
0.05,4.951,0,4,0
0.05,30.395,1,0,0
0.05,22.935,1,0,0
0.05,7.904,1,0,0
0.05,2.954,0,0,0
0.05,7.228,1,0,0
0.05,10.06,1,0,0
0.05,1.739,1,0,1
0.05,10.975,0,0,0
0.05,3.723,1,0,0
0.05,3.551,0,0,0
0.05,7.487,0,0,0
0.05,7.018,1,10,0
0.05,1.831,1,5,0
0.05,12.236,0,0,0
0.05,18.545,0,0,0
0.05,17.401,0,0,0
0.05,19.148,1,3,0
0.05,20.095,0,0,0
0.05,25.521,0,0,0
0.05,5.258,0,0,0
0.05,8.266,1,3,0
0.05,8.829,1,12,0
0.05,1.897,0,0,0
0.05,8.701,0,9,0
0.05,7.616,0,0,0
0.05,0.63,0,0,0
0.05,10.346,0,0,0
0.05,3.267,0,3,0
0.05,3.144,0,0,0
0.05,10.741,0,5,0
0.05,6.481,1,5,0
0.05,18.021,0,0,0
0.05,6.674,0,0,0
0.05,5.912,0,5,0
0.05,6.545,1,10,0
0.05,1.9,1,10,0
0.05,19.167,0,10,0
0.05,38.62,1,5,0
0.05,2.302,0,0,1
0.05,12.712,0,5,0
0.05,35.972,1,10,0
0.05,11.137,0,10,0
0.05,13.042,0,0,0
0.06,4.739,1,0,0
0.36,6.766,0,9,1
0.05,13.211,0,0,1
0.05,14.123,1,0,0
0.05,4.517,1,0,0
0.2,23.484,1,10,0
0.13,5.8,0,0,0
0.05,7.653,0,0,0
0.05,3.967,0,0,0
0.05,10.747,1,5,0
0.05,4.672,1,0,0
0.05,6.045,1,0,0
0.05,5.085,1,0,0
0.05,15.813,1,0,0
0.05,10.201,0,9,0
0.05,30.553,0,0,0
0.05,5.065,0,0,0
0.05,15.865,0,5,0
0.05,11.528,1,12,0
1.2,43.272,0,10,1
0.05,16.481,0,5,0
0.05,8.412,1,10,0
0.05,19.239,0,5,0
0.18,8.125,0,5,0
0.05,6.822,0,5,0
0.05,7.43,1,10,0
0.11,2.68,0,0,0
0.05,2.206,1,5,0
1.13,12.274,1,14,1
2.43,25.281,0,0,1
0.9,19.84,0,9,0
0.06,2.147,1,5,0
0.07,0.926,1,10,0
0.21,4.544,0,5,0
0.52,5.18,0,5,1
0.09,15.529,0,5,0
0.37,24.512,0,5,0
0.53,42.685,0,8,1
0.64,5.162,1,8,0
1.96,38.964,1,10,1
0.59,58.098,0,9,1
1.48,61.59,0,9,1
1.78,32.594,0,0,1
2.14,18.55,0,0,1
0.25,10.412,0,5,0
0.06,30.849,0,5,0
1.41,30.164,0,5,1
0.65,22.548,0,5,1
1.5,18.522,0,5,1
1.86,24.775,0,12,1
1.6,35.436,1,5,1
0.35,17.584,0,5,0
0.7,31.341,0,10,1
0.51,15.571,1,5,0
0.45,26.264,0,5,0
2.48,27.173,0,0,1
0.29,38.233,0,0,0
0.63,49.034,0,10,1
1.13,41.165,0,0,1
1.07,135.32,1,0,1
0.71,37.778,0,7,0
0.44,12.975,0,0,0
1.12,3.779,1,8,1
0.92,27.276,0,0,1
0.53,49.169,0,0,0
0.58,50.724,1,0,0
0.38,51.149,0,12,0
1.31,26.217,0,12,1
1.49,20.914,0,12,1
2.09,11.236,0,0,1
0.67,10.565,1,5,1
0.23,12.74,0,0,0
0.37,2.209,1,0,0
0.86,3.312,0,5,1
0.64,35.715,0,10,1
1.44,52.292,0,0,1
1.52,60.146,0,5,0
1.27,44.461,0,0,1
2.17,70.022,1,0,0
1.73,95.808,0,5,0
1.93,121.764,0,9,1
2.2,127.566,0,5,1
1.6,120.153,0,8,1
1.62,101.19,0,8,1
1.65,66.215,0,0,1
0.81,54.973,1,0,0
0.37,40.882,1,7,0
1.86,73.215,0,5,0
1.93,33.366,1,5,0
1.55,51.458,0,0,1
1.9,87.314,0,5,1
4.06,95.309,0,5,0
4.03,128.095,1,3,1
1.56,109.777,0,10,1
2.53,138.579,0,0,0
3.41,162.264,0,0,0
2.21,155.786,0,0,0
2.92,105.651,0,5,0
2.06,93.962,0,5,0
3.05,86.447,0,5,1
3.89,72.102,0,5,1
2.88,55.549,0,0,1
1.39,49.696,0,0,0
2.07,45.511,0,10,1
1.46,50.582,0,0,0
1.99,94.171,0,0,1
1.51,81.206,0,5,1
3.23,95.771,0,5,0
4.21,76.508,0,5,1
2.49,56.638,0,5,1
0.78,38.982,1,0,1
2.32,30.837,0,0,1
1.43,60.719,0,7,1
1.71,29.601,0,0,1
1.99,77.135,0,5,1
2.48,95.1,0,0,1
3.61,89.527,1,5,1
2.63,66.609,0,0,1
4.29,50.393,1,10,1
1.86,16.24,1,9,1
3.88,49.721,0,0,1
3.04,72.53,1,0,1
3.36,25.677,1,10,1
3.44,8.024,1,10,1
1.38,63.679,0,5,0
1.9,53.315,0,10,0
2.79,45.978,0,0,1
3.73,69.618,0,10,1
2.04,72.217,0,0,1
2.09,55.552,0,0,1
2.63,81.379,1,0,1
3.3,81.132,1,0,1
3.25,51.709,0,6,1
1.53,55.779,0,5,1
2.6,26.973,0,5,1
3.15,29.406,0,5,1
2,28.215,0,0,1
2.82,71.961,1,0,1
3.68,72.932,0,0,1
2.56,75.526,0,0,1
1.51,29.081,0,0,1
3.62,45.07,0,0,0
5.25,80.68,0,0,1
1.59,96.94,0,0,1
2.21,115.327,0,0,1
2.42,108.547,0,3,1
2.36,86.937,0,0,1
2.09,106.83,0,4,1
1.22,94.142,0,0,1
3.43,79.898,0,0,1
3.93,81.896,1,0,1
4.93,54.96,0,0,0
1.91,46.61,0,0,1
2.33,68.074,0,0,1
2.18,102.398,0,0,1
4.77,107.369,1,0,1
3.79,84.884,0,0,1
3.48,84.891,0,0,1
3.02,58.683,0,0,0
2.71,68.314,1,7,1
2.34,38.781,0,0,1
3.15,81.758,1,0,1
2.56,102.953,1,5,1
3.34,107.48,0,12,1
2.32,120.094,1,10,1
3.62,135,1,10,1
1.02,71.773,0,0,1
3.26,33.197,1,0,1
1.61,47.012,1,7,1
1.16,60.362,1,0,1
1.01,128.849,1,0,0
0.67,144.071,1,9,0
3.17,110.425,0,5,0
2.44,113.009,1,0,0
2.26,78.976,0,7,0
1.65,52.93,1,7,1
3.86,14.005,0,5,1
3.32,18.477,1,5,1
3.52,59.757,0,12,1
3.19,61.957,0,0,1
2.78,76.275,1,0,1
3.42,66.064,1,10,1
1.66,60.312,0,0,1
3.35,74.921,0,9,1
3.09,73.839,0,0,1
3.59,61.172,0,0,1
3.88,10.809,1,0,1
2.94,65.903,1,10,1
0.95,34.528,1,5,1
0.1,35.691,1,6,1
3.59,31.71,1,14,1
0.11,61.732,1,14,1
2.6,63.909,0,9,1
3.24,74.849,0,9,1
3.32,81.555,0,0,1
3.26,66.437,0,5,1
4.04,59.073,0,0,1
1.28,74.088,0,5,1
3.27,60.459,0,0,1
3.4,43.485,0,0,1
2.91,116.441,0,5,1
1.48,84.874,0,10,1
4.35,62.292,0,0,1
1.87,70.103,0,5,1
3.01,60.561,0,5,1
3.05,45.212,0,0,0
2.62,49.698,0,10,1
3.26,32.449,0,12,1
1.92,47.019,1,0,1
3.44,62.619,0,5,1
2.57,30.179,0,8,1
2.97,47.647,1,9,1
2.95,52.099,1,9,0
2.28,95.074,0,5,1
3.17,80.703,0,14,1
3.69,80.427,0,5,1
3.08,81.583,1,5,0
2.86,47.339,1,5,1
2.74,74.952,1,6,1
2.09,51.243,1,5,1
1.95,44.95,1,5,0
1.78,29.714,0,0,1
2.2,45.554,0,5,0
1.71,31.555,0,5,1
3.86,58.224,0,0,0
3.45,40.835,0,6,1
3.97,47.846,0,7,1
1.92,20.264,0,7,1
1.39,9.773,0,0,1
4.81,185.205,0,0,0
2.08,82.625,0,4,1
2.49,112.705,1,5,0
1.83,98.029,1,0,0
1.24,112.144,1,0,0
1.38,133.436,0,10,0
1.54,163.552,0,0,0
0.38,36.049,1,5,0
0.16,8.029,0,4,0
0.53,18.147,0,0,0
0.9,27.245,1,5,0
2.04,15.889,1,3,0
